name,diet,period_name,period_year(million_years_ago),continent,lived_in,type,length,named_by,Altura,Peso,_merge
fukuiraptor,carnivorous,Early Cretaceous,121-99,Asia,Japan,large theropod,4.2,Azuma and Currie (2000),0.07 metros,590 kilos,both
fukuisaurus,herbivorous,Early Cretaceous,121-99,Asia,Japan,euornithopod,4.7,Kobayashi and Azuma (2003),2 metros,400 kilos,both
gallimimus,omnivorous,Late Cretaceous,74-70,Asia,Mongolia,large theropod,6.0,Osmólska Roniewicz and Barsbold (1972),2 metros,200 kilos,both
gargoyleosaurus,herbivorous,Late Jurassic,154-142,América del Norte,USA,armoured dinosaur,4.0,Carpenter Miles and Cloward (1998),1 metros,1000 kilos,both
garudimimus,omnivorous,Late Cretaceous,99-89,Asia,Mongolia,large theropod,4.7,Barsbold (1981),0.35 metros,30 kilos,both
gasosaurus,carnivorous,Mid Jurassic,170-160,Asia,China,small theropod,4.0,Dong and Tang (1985),1.5 metros,150 kilos,both
gasparinisaura,herbivorous,Late Cretaceous,86-71,America del Sur,Argentina,euornithopod,0.8,Coria and Salgado (1996),0.3 metros,34 kilos,both
gastonia,herbivorous,Early Cretaceous,142-127,América del Norte,USA,armoured dinosaur,4.6,Kirkland (1998),1.1 metros,1900 kilos,both
giganotosaurus,carnivorous,Early Cretaceous,112-90,America del Sur,Argentina,large theropod,12.5,Coria and Salgado (1995),6 metros,8000 kilos,both
gilmoreosaurus,herbivorous,Late Cretaceous,76-70,Asia,China,euornithopod,6.0,Brett-Surman (1979),3.2 metros,300 kilos,both
giraffatitan,herbivorous,Late Jurassic,154-142,Africa,Tanzania,sauropod,23.0,Janensch (1914),12 metros,40000 kilos,both
gobisaurus,herbivorous,Early Cretaceous,121-99,Asia,China,armoured dinosaur,5.0,Vickaryous Russell Currie and Zhao (2001),2.4 metros,3500 kilos,both
gorgosaurus,carnivorous,Late Cretaceous,80-73,América del Norte,USA,large theropod,8.6,Lamb (1914),2.7 metros,2500 kilos,both
goyocephale,herbivorous,Late Cretaceous,81-75,Asia,Mongolia,large theropod,2.0,Perle Maryańska and Osmólska (1982),0.5 metros,40 kilos,both
graciliceratops,herbivorous,Late Cretaceous,99-84,Asia,Mongolia,ceratopsian,2.0,Sereno (2000),0.4 metros,9 kilos,both
gryposaurus,herbivorous,Late Cretaceous,86-71,América del Norte,USA,euornithopod,10.0,Lambe (1914),2.7 metros,4536 kilos,both
guaibasaurus,herbivorous,Late Triassic,221-210,America del Sur,Brazil,small theropod,1.8,Bonaparte Ferigolo and Ribeiro (1999),0.9 metros,6 kilos,both
guanlong,carnivorous,Late Jurassic,159-154,Asia,China,small theropod,3.0,Xu Clark Forster Norell Erickson Eberth Jia and Zhao (2006),1 metros,125 kilos,both
hadrosaurus,herbivorous,Late Cretaceous,78-74,América del Norte,USA,euornithopod,9.0,Leidy (1858),3 metros,8000 kilos,both
hagryphus,omnivorous,Late Cretaceous,,América del Norte,USA,small theropod,3.0,Zanno and Sampson (2005),2 metros,50 kilos,both
haplocanthosaurus,herbivorous,Late Jurassic,154-142,América del Norte,USA,sauropod,21.5,Hatcher (1903),14 metros,11611 kilos,both
harpymimus,omnivorous,Early Cretaceous,121-99,Asia,Mongolia,small theropod,2.0,Barsbold and Perle (1984),1.8 metros,50 kilos,both
herrerasaurus,carnivorous,Late Triassic,228,America del Sur,Argentina,small theropod,3.0,Reig (1963),3 metros,350 kilos,both
hesperosaurus,herbivorous,Late Jurassic,154-142,América del Norte,USA,armoured dinosaur,6.0,Carpenter Miles and Cloward (2001),,3500 kilos,both
heterodontosaurus,herbivorous,Early Jurassic,205,Africa,South Africa,euornithopod,1.2,Crompton and Charig (1962),0.5 metros,6 kilos,both
heyuannia,omnivorous,Late Cretaceous,72-68,Asia,Mongolia,small theropod,2.0,Barsbold (1981),,20 kilos,both
homalocephale,herbivorous,Late Cretaceous,72-68,Asia,Mongolia,euornithopod,1.5,Maryańska and Osmólska (1974),0.6 metros,85 kilos,both
huayangosaurus,herbivorous,Mid Jurassic,170-160,Asia,China,armoured dinosaur,4.5,Dong Tang and Zhou (1982),1.3 metros,3000 kilos,both
hylaeosaurus,herbivorous,Early Cretaceous,150-135,Europa,United Kingdom,armoured dinosaur,5.0,Mantell (1833),0.085 metros,1000 kilos,both
hypacrosaurus,herbivorous,Late Cretaceous,70,América del Norte,USA,euornithopod,9.0,Brown (1913),4 metros,1300 kilos,both
hypsilophodon,herbivorous,Early Cretaceous,125,Europa,United Kingdom,euornithopod,2.3,Huxley (1869),0.6 metros,68 kilos,both
iguanodon,herbivorous,Early Cretaceous,140-110,Europa,United Kingdom,euornithopod,10.0,Boulenger and van Beneden (1881),2.7 metros,5000 kilos,both
indosuchus,carnivorous,Late Cretaceous,71-65,Asia,India,large theropod,7.0,Huene and Matley (1933),4.9 metros,1200 kilos,both
irritator,carnivorous,Early Cretaceous,112-99,America del Sur,Brazil,large theropod,6.5,Martill Cruickshank Frey Small and Clarke (1996),3 metros,1000 kilos,both
isisaurus,herbivorous,Late Cretaceous,71-65,Asia,India,sauropod,18.0,Jain and Bandyopadhyay (1997),5 metros,,both
janenschia,herbivorous,Late Jurassic,154-151,Africa,Tanzania,sauropod,20.0,Wild (1991),6 metros,30000 kilos,both
jaxartosaurus,herbivorous,Late Cretaceous,94-84,Asia,Kazakhstan,euornithopod,9.0,Riabinin (1939),4.9 metros,3629 kilos,both
jingshanosaurus,herbivorous,Early Jurassic,205-190,Asia,China,sauropod,5.0,Zhang and Yang (1995),2.5 metros,2500 kilos,both
jinzhousaurus,herbivorous,Early Cretaceous,127-121,Asia,China,euornithopod,7.0,Wang and Xu (2001),2.5 metros,1000 kilos,both
jobaria,herbivorous,Early Cretaceous,132-94,Africa,Niger,sauropod,21.0,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson and Wilson (1999),4.5 metros,22000 kilos,both
juravenator,carnivorous,Late Jurassic,154-151,Europa,Germany,small theropod,0.8,Göhlich &amp; Chiappe (2006),,1 kilos,both
kentrosaurus,herbivorous,Late Jurassic,155-150,Africa,Tanzania,armoured dinosaur,5.0,Hennig (1915),3.51 metros,3000 kilos,both
khaan,omnivorous,Late Cretaceous,81-75,Asia,Mongolia,small theropod,1.8,Clark Norell and Barsbold (2001),,14 kilos,both
kotasaurus,herbivorous,Early Jurassic,205-180,Asia,India,sauropod,9.0,Yadagiri (1988),3 metros,2500 kilos,both
kritosaurus,herbivorous,Late Cretaceous,78-74,América del Norte,USA,euornithopod,8.0,Brown (1910),7 metros,2300 kilos,both
lambeosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,euornithopod,9.0,Parks (1923),2.1 metros,3000 kilos,both
lapparentosaurus,herbivorous,Mid Jurassic,169-164,Africa,Madagascar,sauropod,15.0,Bonaparte (1986),6 metros,22680 kilos,both
leaellynasaura,herbivorous,Early Cretaceous,115-110,Oceanía,Australia,euornithopod,2.0,Rich and Rich (1989),0.4 metros,10 kilos,both
leptoceratops,herbivorous,Late Cretaceous,67-65,América del Norte,USA,ceratopsian,3.0,Brown (1914),0.75 metros,200 kilos,both
lesothosaurus,herbivorous,Early Jurassic,213-200,Africa,Lesotho,small theropod,2.0,Galton (1978),1 metros,10 kilos,both
liaoceratops,herbivorous,Early Cretaceous,127-121,Asia,China,ceratopsian,0.154,Xu Makovicky Wang Norell and You (2002),0.007 metros,7 kilos,both
ligabuesaurus,herbivorous,Early Cretaceous,121-99,America del Sur,Argentina,sauropod,24.0,Bonaparte González Riga and Apesteguía (2006),,,both
liliensternus,carnivorous,Late Triassic,205-202,Europa,Germany,small theropod,5.0,Huene (1934),2 metros,200 kilos,both
lophorhothon,herbivorous,Late Cretaceous,84-71,América del Norte,USA,euornithopod,4.5,Xu Makovicky Wang Norell and You (1960),,590 kilos,both
lophostropheus,carnivorous,Early Jurassic,203-196,Europa,France,large theropod,6.2,Ezcurra and Cuny 2007 (1993),,100 kilos,both
lufengosaurus,herbivorous,Early Jurassic,200-195,Asia,China,sauropod,6.0,Young (1941),3 metros,1500 kilos,both
lurdusaurus,herbivorous,Early Cretaceous,121-112,Africa,Niger,euornithopod,9.0,Taquet &amp; Russell (1999),2 metros,5500 kilos,both
lycorhinus,herbivorous,Late Triassic,205-195,Africa,South Africa,euornithopod,1.2,Haughton (1924),0.5 metros,18 kilos,both
magyarosaurus,herbivorous,Late Cretaceous,71-65,Europa,Romania,sauropod,5.0,Nopcsa (1915),2 metros,1100 kilos,both
maiasaura,herbivorous,Late Cretaceous,80-75,América del Norte,USA,euornithopod,9.0,Horner and Makela (1979),2.5 metros,10000 kilos,both
majungasaurus,carnivorous,Late Cretaceous,84-71,Africa,Madagascar,large theropod,6.0,Sues &amp; Taquet (1979),2 metros,1100 kilos,both
malawisaurus,herbivorous,Early Cretaceous,121-112,Africa,Malawi,sauropod,9.0,Haughton (1928),4.3 metros,9000 kilos,both
mamenchisaurus,herbivorous,Late Jurassic,155-145,Asia,China,sauropod,22.0,Young (1954),10.7 metros,27216 kilos,both
mapusaurus,carnivorous,Late Cretaceous,99-94,America del Sur,Argentina,large theropod,13.0,Coria and Currie (2006),4.5 metros,3000 kilos,both
marshosaurus,carnivorous,Late Jurassic,154-142,América del Norte,USA,large theropod,6.0,Madsen (1976),,200 kilos,both
masiakasaurus,carnivorous,Late Cretaceous,84-71,Africa,Madagascar,small theropod,2.0,Sampson Carrano &amp; Forster (2001),1.25 metros,128 kilos,both
massospondylus,omnivorous,Early Jurassic,208-204,Africa,Zimbabwe,sauropod,4.0,Owen (1854),2.4 metros,1000 kilos,both
maxakalisaurus,herbivorous,Late Cretaceous,80,America del Sur,Brazil,sauropod,13.0,Kellner et al. (2006),,,both
megalosaurus,carnivorous,Mid Jurassic,170-155,Europa,United Kingdom,large theropod,9.0,Ritgen (1826),3 metros,9000 kilos,both
melanorosaurus,omnivorous,Late Triassic,227-221,Africa,South Africa,sauropod,12.0,Haughton (1924),2 metros,1300 kilos,both
metriacanthosaurus,carnivorous,Late Jurassic,159-154,Europa,United Kingdom,large theropod,8.2,Walker (1964),1.8 metros,910 kilos,both
microceratus,herbivorous,Late Cretaceous,86-66,Asia,Mongolia,ceratopsian,0.5,Bohlin (1953),0.25 metros,10 kilos,both
micropachycephalosaurus,herbivorous,Late Cretaceous,84-71,Asia,China,ceratopsian,0.6,Dong (1978),0.17 metros,5 kilos,both
microraptor,carnivorous,Early Cretaceous,125-122,Asia,China,small theropod,0.8,Xu Zhou and Wang (2000),0.3 metros,1 kilos,both
minmi,herbivorous,Early Cretaceous,121-112,Oceanía,Australia,armoured dinosaur,3.0,Molnar (1980),1 metros,1600 kilos,both
monolophosaurus,carnivorous,Mid Jurassic,180-159,Asia,China,large theropod,5.7,Zhao and Currie (1993),1.8 metros,480 kilos,both
mononykus,carnivorous,Late Cretaceous,81-68,Asia,Mongolia,small theropod,1.0,Perle Norell Chiappe and Clark (1993),0.4 metros,4 kilos,both
mussaurus,herbivorous,Late Triassic,221-210,America del Sur,Argentina,sauropod,3.0,Bonaparte and Vince (1979),3 metros,1000 kilos,both
muttaburrasaurus,herbivorous,Early Cretaceous,110-100,Oceanía,Australia,euornithopod,7.0,Bartholomai and Molnar (1981),2.5 metros,2800 kilos,both
nanshiungosaurus,omnivorous,Late Cretaceous,84-71,Asia,China,large theropod,4.4,Dong (1979),0.6 metros,600 kilos,both
nedoceratops,herbivorous,Late Cretaceous,67-65,América del Norte,USA,ceratopsian,7.0,Lull (1905),,12000 kilos,both
nemegtosaurus,herbivorous,Late Cretaceous,72-68,Asia,Mongolia,sauropod,13.0,Nowinski (1971),4 metros,18144 kilos,both
neovenator,carnivorous,Early Cretaceous,127-121,Europa,United Kingdom,large theropod,7.4,Hutt Martill and Barker (1996),2.5 metros,2000 kilos,both
neuquenosaurus,herbivorous,Late Cretaceous,71-65,America del Sur,Argentina,sauropod,10.0,Lydekker (1893),,12700 kilos,both
nigersaurus,herbivorous,Early Cretaceous,121-99,Africa,Tunisia,sauropod,15.0,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson &amp; Wilson (1999),2.4 metros,4536 kilos,both
nipponosaurus,herbivorous,Late Cretaceous,89-84,Europa,Russia,euornithopod,4.0,Nagao (1936),,1814 kilos,both
noasaurus,carnivorous,Late Cretaceous,84-65,America del Sur,Argentina,small theropod,1.0,Bonaparte and Powell (1980),0.6 metros,15 kilos,both
nodosaurus,herbivorous,Early Cretaceous,110-100,América del Norte,USA,armoured dinosaur,5.0,Marsh (1889),3 metros,3500 kilos,both
nomingia,omnivorous,Late Cretaceous,72-68,Asia,Mongolia,small theropod,1.6,Barsbold Osmólska Watabe Currie and Tsogtbaatar (2000),,20 kilos,both
nothronychus,omnivorous,Late Cretaceous,94-89,América del Norte,USA,large theropod,5.3,Kirkland and Wolfe (2001),3.6 metros,1000 kilos,both
nqwebasaurus,carnivorous,Mid Jurassic,159-132,Africa,South Africa,small theropod,1.0,de Klerk Forster Sampson Chinsamy and Ross (2000),0.31 metros,1 kilos,both
omeisaurus,herbivorous,Mid Jurassic,169-159,Asia,China,sauropod,20.0,Young (1939),4 metros,9800 kilos,both
opisthocoelicaudia,herbivorous,Late Cretaceous,72-68,Asia,Mongolia,sauropod,12.0,Borsuk-Bialynicka  (1977),5 metros,14000 kilos,both
ornitholestes,carnivorous,Late Jurassic,150-144,América del Norte,USA,small theropod,2.0,Osbourne (1933),0.91 metros,11 kilos,both
ornithomimus,omnivorous,Late Cretaceous,74-65,América del Norte,USA,large theropod,4.0,Marsh (1890),2 metros,200 kilos,both
orodromeus,herbivorous,Late Cretaceous,74,América del Norte,USA,euornithopod,2.0,Horner and Weishampel (1988),0.5 metros,50 kilos,both
oryctodromeus,herbivorous,Late Cretaceous,99-94,América del Norte,USA,euornithopod,2.1,Varricchio Marin and Katsura (2007),0.6 metros,32 kilos,both
othnielia,herbivorous,Late Jurassic,154-142,América del Norte,USA,euornithopod,1.4,Marsh (1877),0.6 metros,10 kilos,both
ouranosaurus,herbivorous,Early Cretaceous,115-100,Africa,Niger,euornithopod,7.0,Taquet (1976),3 metros,4000 kilos,both
oviraptor,omnivorous,Late Cretaceous,85-75,Asia,Mongolia,small theropod,2.0,Osborn (1924),0.91 metros,36 kilos,both
pachycephalosaurus,herbivorous,Late Cretaceous,76-65,América del Norte,USA,euornithopod,8.0,Brown and Schlaikjer (1943),3 metros,2000 kilos,both
pachyrhinosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,ceratopsian,6.0,Sternberg (1950),3 metros,4000 kilos,both
panoplosaurus,herbivorous,Late Cretaceous,79-75,América del Norte,USA,armoured dinosaur,7.0,Lambe (1919),1.2 metros,3175 kilos,both
pantydraco,herbivorous,Early Jurassic,,Europa,Wales,euornithopod,3.0,Galton Yates and Kermack 2007 (2003),3 metros,50 kilos,both
paralititan,herbivorous,Late Cretaceous,99-94,Africa,Egypt,sauropod,28.0,Smith Lamanna Lacovara Dodson Smith Poole Giegengack and Attia (2001),9 metros,47000 kilos,both
parasaurolophus,herbivorous,Late Cretaceous,76-74,América del Norte,USA,euornithopod,11.0,Parks (1922),4.9 metros,3600 kilos,both
parksosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,euornithopod,3.0,Sternberg (1937),1 metros,45 kilos,both
patagosaurus,herbivorous,Mid Jurassic,164-159,America del Sur,Argentina,sauropod,18.0,Bonaparte (1979),4.6 metros,7257 kilos,both
pelicanimimus,carnivorous,Early Cretaceous,127-121,Europa,Spain,small theropod,2.0,Pérez-Moreno Sanz Buscalioni Moratalla Ortega and Rasskin-Gutman (1994),1 metros,25 kilos,both
pelorosaurus,herbivorous,Early Cretaceous,125,Europa,United Kingdom,sauropod,25.0,Mantell (1850),12 metros,14000 kilos,both
pentaceratops,herbivorous,Late Cretaceous,76-74,América del Norte,USA,ceratopsian,6.8,Osborn (1923),4 metros,2700 kilos,both
piatnitzkysaurus,carnivorous,Late Jurassic,164-159,America del Sur,Argentina,large theropod,4.2,Bonaparte (1979),2.5 metros,300 kilos,both
pinacosaurus,herbivorous,Late Cretaceous,81-75,Asia,Mongolia,armoured dinosaur,5.0,Gilmore (1933),2 metros,1400 kilos,both
plateosaurus,herbivorous,Late Triassic,210,Europa,Switzerland,sauropod,7.0,Meyer (1837),3 metros,700 kilos,both
podokesaurus,carnivorous,Mid Jurassic,195-180,América del Norte,USA,small theropod,0.9,Talbot (1911),0.3 metros,4 kilos,both
poekilopleuron,carnivorous,Mid Jurassic,169-164,Europa,France,large theropod,9.0,Eudes-Deslongchamps (1838),3 metros,1300 kilos,both
