name,diet,period_name,period_year(million_years_ago),continent,lived_in,type,length,named_by,Altura,Peso,_merge
stegosaurus,herbivorous,Late Jurassic,155-145,América del Norte,USA,armoured dinosaur,9.0,Marsh (1877),,,left_only
stenopelix,herbivorous,Early Cretaceous,127-121,Europa,Germany,ceratopsian,1.5,Meyer (1857),0.76 metros,10 kilos,both
struthiomimus,omnivorous,Late Cretaceous,76-74,América del Norte,Canada,small theropod,4.0,Osborn (1917),3 metros,150 kilos,both
struthiosaurus,herbivorous,Late Cretaceous,83-75,Europa,Spain,armoured dinosaur,2.5,Bunzel (1871),1.7 metros,400 kilos,both
styracosaurus,herbivorous,Late Cretaceous,76-70,América del Norte,USA,ceratopsian,5.5,Lambe (1913),2 metros,3000 kilos,both
suchomimus,carnivorous,Early Cretaceous,121-112,Africa,Niger,large theropod,11.0,Sereno Beck Dutheil Gado Larsson Lyon Marcot Rauhut Sadleir Sidor Varricchio Wilson and Wilson (1998),5 metros,6000 kilos,both
supersaurus,herbivorous,Early Cretaceous,154-142,América del Norte,USA,sauropod,35.0,Jansen (1985),,50000 kilos,both
talarurus,herbivorous,Late Cretaceous,99-89,Asia,Mongolia,armoured dinosaur,6.0,Maleev (1952),2 metros,1360 kilos,both
tanius,herbivorous,Late Cretaceous,89-65,Asia,China,euornithopod,7.0,Wiman (1929),3 metros,2177 kilos,both
tarbosaurus,carnivorous,Late Cretaceous,74-70,Asia,Mongolia,large theropod,10.0,Maleev (1955),4 metros,11000 kilos,both
tarchia,herbivorous,Late Cretaceous,75-68,Asia,Mongolia,armoured dinosaur,8.5,Maleev (1956),3 metros,4500 kilos,both
telmatosaurus,herbivorous,Late Cretaceous,84-65,Europa,Spain,euornithopod,5.0,Nopcsa (1900),2 metros,450 kilos,both
tenontosaurus,herbivorous,Early Cretaceous,120-110,América del Norte,USA,euornithopod,7.0,Ostrom (1970),3 metros,900 kilos,both
thecodontosaurus,omnivorous,Late Triassic,227-205,Europa,United Kingdom,sauropod,2.5,Morris (1843),0.3 metros,11 kilos,both
therizinosaurus,omnivorous,Late Cretaceous,85-70,Asia,Mongolia,large theropod,10.0,Maleev (1915),4 metros,450 kilos,both
thescelosaurus,herbivorous,Late Cretaceous,76-67,América del Norte,USA,euornithopod,3.5,Gilmore (1913),1.3 metros,300 kilos,both
torosaurus,herbivorous,Late Cretaceous,70-65,América del Norte,USA,ceratopsian,7.5,Marsh (1891),2.7 metros,12000 kilos,both
torvosaurus,carnivorous,Late Jurassic,155-144,América del Norte,USA,large theropod,10.0,Galton and Jensen (1979),4.5 metros,2700 kilos,both
triceratops,herbivorous,Late Cretaceous,68-66,América del Norte,USA,ceratopsian,9.0,Marsh (1889),2.7 metros,12000 kilos,both
troodon,carnivorous,Late Cretaceous,74-65,América del Norte,USA,small theropod,2.0,Leidy (1856),0.7 metros,50 kilos,both
tsagantegia,herbivorous,Late Cretaceous,99-84,Asia,Mongolia,armoured dinosaur,6.0,Tumanova (1993),2.5 metros,2722 kilos,both
tsintaosaurus,herbivorous,Late Cretaceous,84-71,Asia,China,euornithopod,12.0,Young (1958),4 metros,2700 kilos,both
tuojiangosaurus,herbivorous,Late Jurassic,157-154,Asia,China,armoured dinosaur,7.0,Dong Li Zhou and Zhang (1973),2 metros,2800 kilos,both
tylocephale,herbivorous,Late Cretaceous,75-72,Asia,Mongolia,euornithopod,1.4,Maryańska and Osmólska (1974),1.1 metros,32 kilos,both
tyrannosaurus,carnivorous,Late Cretaceous,68-66,América del Norte,USA,large theropod,12.0,Osborn (1905),,,left_only
udanoceratops,herbivorous,Late Cretaceous,81-75,Asia,Mongolia,ceratopsian,4.0,Kurzanov (1992),0.9 metros,200 kilos,both
unenlagia,carnivorous,Late Cretaceous,94-86,America del Sur,Argentina,small theropod,2.4,Novas and Puerta (1997),1.6 metros,23 kilos,both
urbacodon,carnivorous,Late Cretaceous,95,Asia,Uzbekistan,small theropod,1.0,Averianov and Sues (2007),0.5 metros,10 kilos,both
utahraptor,carnivorous,Early Cretaceous,112-100,América del Norte,USA,large theropod,6.0,Kirkland Gaston and Burge (1993),2.7 metros,900 kilos,both
valdosaurus,herbivorous,Early Cretaceous,142-121,Europa,United Kingdom,euornithopod,3.0,Galton (1975),1 metros,10 kilos,both
velociraptor,carnivorous,Late Cretaceous,74-70,Asia,Mongolia,small theropod,1.8,Osborn (1924),0.7 metros,25 kilos,both
vulcanodon,herbivorous,Early Jurassic,205-202,Africa,Zimbabwe,sauropod,6.5,Raath (1972),2 metros,3500 kilos,both
yandusaurus,herbivorous,Mid Jurassic,169-159,Asia,China,euornithopod,3.0,He (1979),0.3 metros,7 kilos,both
yangchuanosaurus,carnivorous,Late Jurassic,160-144,Asia,China,large theropod,10.0,Dong Chang Li and Zhou (1978),4.5 metros,3150 kilos,both
yimenosaurus,herbivorous,Early Jurassic,195-190,Asia,China,sauropod,9.0,Bai Yang and Wang (1990),3 metros,1000 kilos,both
yingshanosaurus,herbivorous,Late Jurassic,159-142,Asia,China,armoured dinosaur,4.5,Watanabe (1992),5.5 metros,1000 kilos,both
yinlong,herbivorous,Mid Jurassic,159-154,Asia,China,ceratopsian,1.2,Xu Forster Clark and Mo (2006),0.4 metros,15 kilos,both
yuanmousaurus,herbivorous,Mid Jurassic,180-159,Asia,China,sauropod,17.0,Lü Li Ji Wang Zhang and Dong (2006),,18143 kilos,both
yunnanosaurus,omnivorous,Early Jurassic,205-190,Asia,China,sauropod,7.0,Young (1942),2 metros,,both
zalmoxes,herbivorous,Late Cretaceous,69,Europa,Romania,euornithopod,3.0,Nopcsa (1902),0.7 metros,80 kilos,both
zephyrosaurus,herbivorous,Early Cretaceous,120-110,América del Norte,USA,euornithopod,1.8,Sues (1980),1 metros,20 kilos,both
zuniceratops,herbivorous,Late Cretaceous,94-89,América del Norte,USA,ceratopsian,3.5,Wolfe and Kirkland (1998),,,left_only
