name,diet,period_name,period_year(million_years_ago),continent,lived_in,type,length,named_by
khaan,omnivorous,Late Cretaceous,81-75,Asia,Mongolia,small theropod,1.8,Clark Norell and Barsbold (2001)
kotasaurus,herbivorous,Early Jurassic,205-180,Asia,India,sauropod,9.0,Yadagiri (1988)
kritosaurus,herbivorous,Late Cretaceous,78-74,América del Norte,USA,euornithopod,8.0,Brown (1910)
lambeosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,euornithopod,9.0,Parks (1923)
lapparentosaurus,herbivorous,Mid Jurassic,169-164,Africa,Madagascar,sauropod,15.0,Bonaparte (1986)
leaellynasaura,herbivorous,Early Cretaceous,115-110,Oceanía,Australia,euornithopod,2.0,Rich and Rich (1989)
leptoceratops,herbivorous,Late Cretaceous,67-65,América del Norte,USA,ceratopsian,3.0,Brown (1914)
lesothosaurus,herbivorous,Early Jurassic,213-200,Africa,Lesotho,small theropod,2.0,Galton (1978)
liaoceratops,herbivorous,Early Cretaceous,127-121,Asia,China,ceratopsian,0.154,Xu Makovicky Wang Norell and You (2002)
ligabuesaurus,herbivorous,Early Cretaceous,121-99,America del Sur,Argentina,sauropod,24.0,Bonaparte González Riga and Apesteguía (2006)
liliensternus,carnivorous,Late Triassic,205-202,Europa,Germany,small theropod,5.0,Huene (1934)
lophorhothon,herbivorous,Late Cretaceous,84-71,América del Norte,USA,euornithopod,4.5,Xu Makovicky Wang Norell and You (1960)
lophostropheus,carnivorous,Early Jurassic,203-196,Europa,France,large theropod,6.2,Ezcurra and Cuny 2007 (1993)
lufengosaurus,herbivorous,Early Jurassic,200-195,Asia,China,sauropod,6.0,Young (1941)
lurdusaurus,herbivorous,Early Cretaceous,121-112,Africa,Niger,euornithopod,9.0,Taquet &amp; Russell (1999)
lycorhinus,herbivorous,Late Triassic,205-195,Africa,South Africa,euornithopod,1.2,Haughton (1924)
magyarosaurus,herbivorous,Late Cretaceous,71-65,Europa,Romania,sauropod,5.0,Nopcsa (1915)
maiasaura,herbivorous,Late Cretaceous,80-75,América del Norte,USA,euornithopod,9.0,Horner and Makela (1979)
majungasaurus,carnivorous,Late Cretaceous,84-71,Africa,Madagascar,large theropod,6.0,Sues &amp; Taquet (1979)
malawisaurus,herbivorous,Early Cretaceous,121-112,Africa,Malawi,sauropod,9.0,Haughton (1928)
mamenchisaurus,herbivorous,Late Jurassic,155-145,Asia,China,sauropod,22.0,Young (1954)
mapusaurus,carnivorous,Late Cretaceous,99-94,America del Sur,Argentina,large theropod,13.0,Coria and Currie (2006)
marshosaurus,carnivorous,Late Jurassic,154-142,América del Norte,USA,large theropod,6.0,Madsen (1976)
masiakasaurus,carnivorous,Late Cretaceous,84-71,Africa,Madagascar,small theropod,2.0,Sampson Carrano &amp; Forster (2001)
massospondylus,omnivorous,Early Jurassic,208-204,Africa,Zimbabwe,sauropod,4.0,Owen (1854)
maxakalisaurus,herbivorous,Late Cretaceous,80,America del Sur,Brazil,sauropod,13.0,Kellner et al. (2006)
megalosaurus,carnivorous,Mid Jurassic,170-155,Europa,United Kingdom,large theropod,9.0,Ritgen (1826)
melanorosaurus,omnivorous,Late Triassic,227-221,Africa,South Africa,sauropod,12.0,Haughton (1924)
metriacanthosaurus,carnivorous,Late Jurassic,159-154,Europa,United Kingdom,large theropod,8.2,Walker (1964)
microceratus,herbivorous,Late Cretaceous,86-66,Asia,Mongolia,ceratopsian,0.5,Bohlin (1953)
micropachycephalosaurus,herbivorous,Late Cretaceous,84-71,Asia,China,ceratopsian,0.6,Dong (1978)
microraptor,carnivorous,Early Cretaceous,125-122,Asia,China,small theropod,0.8,Xu Zhou and Wang (2000)
minmi,herbivorous,Early Cretaceous,121-112,Oceanía,Australia,armoured dinosaur,3.0,Molnar (1980)
monolophosaurus,carnivorous,Mid Jurassic,180-159,Asia,China,large theropod,5.7,Zhao and Currie (1993)
mononykus,carnivorous,Late Cretaceous,81-68,Asia,Mongolia,small theropod,1.0,Perle Norell Chiappe and Clark (1993)
mussaurus,herbivorous,Late Triassic,221-210,America del Sur,Argentina,sauropod,3.0,Bonaparte and Vince (1979)
muttaburrasaurus,herbivorous,Early Cretaceous,110-100,Oceanía,Australia,euornithopod,7.0,Bartholomai and Molnar (1981)
nanshiungosaurus,omnivorous,Late Cretaceous,84-71,Asia,China,large theropod,4.4,Dong (1979)
nedoceratops,herbivorous,Late Cretaceous,67-65,América del Norte,USA,ceratopsian,7.0,Lull (1905)
nemegtosaurus,herbivorous,Late Cretaceous,72-68,Asia,Mongolia,sauropod,13.0,Nowinski (1971)
neovenator,carnivorous,Early Cretaceous,127-121,Europa,United Kingdom,large theropod,7.4,Hutt Martill and Barker (1996)
neuquenosaurus,herbivorous,Late Cretaceous,71-65,America del Sur,Argentina,sauropod,10.0,Lydekker (1893)
nigersaurus,herbivorous,Early Cretaceous,121-99,Africa,Tunisia,sauropod,15.0,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson &amp; Wilson (1999)
nipponosaurus,herbivorous,Late Cretaceous,89-84,Europa,Russia,euornithopod,4.0,Nagao (1936)
noasaurus,carnivorous,Late Cretaceous,84-65,America del Sur,Argentina,small theropod,1.0,Bonaparte and Powell (1980)
nodosaurus,herbivorous,Early Cretaceous,110-100,América del Norte,USA,armoured dinosaur,5.0,Marsh (1889)
nomingia,omnivorous,Late Cretaceous,72-68,Asia,Mongolia,small theropod,1.6,Barsbold Osmólska Watabe Currie and Tsogtbaatar (2000)
nothronychus,omnivorous,Late Cretaceous,94-89,América del Norte,USA,large theropod,5.3,Kirkland and Wolfe (2001)
nqwebasaurus,carnivorous,Mid Jurassic,159-132,Africa,South Africa,small theropod,1.0,de Klerk Forster Sampson Chinsamy and Ross (2000)
omeisaurus,herbivorous,Mid Jurassic,169-159,Asia,China,sauropod,20.0,Young (1939)
opisthocoelicaudia,herbivorous,Late Cretaceous,72-68,Asia,Mongolia,sauropod,12.0,Borsuk-Bialynicka  (1977)
ornitholestes,carnivorous,Late Jurassic,150-144,América del Norte,USA,small theropod,2.0,Osbourne (1933)
ornithomimus,omnivorous,Late Cretaceous,74-65,América del Norte,USA,large theropod,4.0,Marsh (1890)
orodromeus,herbivorous,Late Cretaceous,74,América del Norte,USA,euornithopod,2.0,Horner and Weishampel (1988)
oryctodromeus,herbivorous,Late Cretaceous,99-94,América del Norte,USA,euornithopod,2.1,Varricchio Marin and Katsura (2007)
othnielia,herbivorous,Late Jurassic,154-142,América del Norte,USA,euornithopod,1.4,Marsh (1877)
ouranosaurus,herbivorous,Early Cretaceous,115-100,Africa,Niger,euornithopod,7.0,Taquet (1976)
oviraptor,omnivorous,Late Cretaceous,85-75,Asia,Mongolia,small theropod,2.0,Osborn (1924)
pachycephalosaurus,herbivorous,Late Cretaceous,76-65,América del Norte,USA,euornithopod,8.0,Brown and Schlaikjer (1943)
pachyrhinosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,ceratopsian,6.0,Sternberg (1950)
panoplosaurus,herbivorous,Late Cretaceous,79-75,América del Norte,USA,armoured dinosaur,7.0,Lambe (1919)
pantydraco,herbivorous,Early Jurassic,,Europa,Wales,euornithopod,3.0,Galton Yates and Kermack 2007 (2003)
paralititan,herbivorous,Late Cretaceous,99-94,Africa,Egypt,sauropod,28.0,Smith Lamanna Lacovara Dodson Smith Poole Giegengack and Attia (2001)
parasaurolophus,herbivorous,Late Cretaceous,76-74,América del Norte,USA,euornithopod,11.0,Parks (1922)
parksosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,euornithopod,3.0,Sternberg (1937)
patagosaurus,herbivorous,Mid Jurassic,164-159,America del Sur,Argentina,sauropod,18.0,Bonaparte (1979)
pelicanimimus,carnivorous,Early Cretaceous,127-121,Europa,Spain,small theropod,2.0,Pérez-Moreno Sanz Buscalioni Moratalla Ortega and Rasskin-Gutman (1994)
pelorosaurus,herbivorous,Early Cretaceous,125,Europa,United Kingdom,sauropod,25.0,Mantell (1850)
pentaceratops,herbivorous,Late Cretaceous,76-74,América del Norte,USA,ceratopsian,6.8,Osborn (1923)
piatnitzkysaurus,carnivorous,Late Jurassic,164-159,America del Sur,Argentina,large theropod,4.2,Bonaparte (1979)
pinacosaurus,herbivorous,Late Cretaceous,81-75,Asia,Mongolia,armoured dinosaur,5.0,Gilmore (1933)
plateosaurus,herbivorous,Late Triassic,210,Europa,Switzerland,sauropod,7.0,Meyer (1837)
podokesaurus,carnivorous,Mid Jurassic,195-180,América del Norte,USA,small theropod,0.9,Talbot (1911)
