name,diet,period_name,period_year(million_years_ago),continent,lived_in,type,length,named_by
tarbosaurus,carnivorous,Late Cretaceous,74-70,Asia,Mongolia,large theropod,10.0,Maleev (1955)
tarchia,herbivorous,Late Cretaceous,75-68,Asia,Mongolia,armoured dinosaur,8.5,Maleev (1956)
telmatosaurus,herbivorous,Late Cretaceous,84-65,Europa,Spain,euornithopod,5.0,Nopcsa (1900)
tenontosaurus,herbivorous,Early Cretaceous,120-110,América del Norte,USA,euornithopod,7.0,Ostrom (1970)
thecodontosaurus,omnivorous,Late Triassic,227-205,Europa,United Kingdom,sauropod,2.5,Morris (1843)
therizinosaurus,omnivorous,Late Cretaceous,85-70,Asia,Mongolia,large theropod,10.0,Maleev (1915)
thescelosaurus,herbivorous,Late Cretaceous,76-67,América del Norte,USA,euornithopod,3.5,Gilmore (1913)
torosaurus,herbivorous,Late Cretaceous,70-65,América del Norte,USA,ceratopsian,7.5,Marsh (1891)
torvosaurus,carnivorous,Late Jurassic,155-144,América del Norte,USA,large theropod,10.0,Galton and Jensen (1979)
triceratops,herbivorous,Late Cretaceous,68-66,América del Norte,USA,ceratopsian,9.0,Marsh (1889)
troodon,carnivorous,Late Cretaceous,74-65,América del Norte,USA,small theropod,2.0,Leidy (1856)
tsagantegia,herbivorous,Late Cretaceous,99-84,Asia,Mongolia,armoured dinosaur,6.0,Tumanova (1993)
tsintaosaurus,herbivorous,Late Cretaceous,84-71,Asia,China,euornithopod,12.0,Young (1958)
tuojiangosaurus,herbivorous,Late Jurassic,157-154,Asia,China,armoured dinosaur,7.0,Dong Li Zhou and Zhang (1973)
tylocephale,herbivorous,Late Cretaceous,75-72,Asia,Mongolia,euornithopod,1.4,Maryańska and Osmólska (1974)
tyrannosaurus,carnivorous,Late Cretaceous,68-66,América del Norte,USA,large theropod,12.0,Osborn (1905)
udanoceratops,herbivorous,Late Cretaceous,81-75,Asia,Mongolia,ceratopsian,4.0,Kurzanov (1992)
unenlagia,carnivorous,Late Cretaceous,94-86,America del Sur,Argentina,small theropod,2.4,Novas and Puerta (1997)
urbacodon,carnivorous,Late Cretaceous,95,Asia,Uzbekistan,small theropod,1.0,Averianov and Sues (2007)
utahraptor,carnivorous,Early Cretaceous,112-100,América del Norte,USA,large theropod,6.0,Kirkland Gaston and Burge (1993)
valdosaurus,herbivorous,Early Cretaceous,142-121,Europa,United Kingdom,euornithopod,3.0,Galton (1975)
velociraptor,carnivorous,Late Cretaceous,74-70,Asia,Mongolia,small theropod,1.8,Osborn (1924)
vulcanodon,herbivorous,Early Jurassic,205-202,Africa,Zimbabwe,sauropod,6.5,Raath (1972)
yandusaurus,herbivorous,Mid Jurassic,169-159,Asia,China,euornithopod,3.0,He (1979)
yangchuanosaurus,carnivorous,Late Jurassic,160-144,Asia,China,large theropod,10.0,Dong Chang Li and Zhou (1978)
yimenosaurus,herbivorous,Early Jurassic,195-190,Asia,China,sauropod,9.0,Bai Yang and Wang (1990)
yingshanosaurus,herbivorous,Late Jurassic,159-142,Asia,China,armoured dinosaur,4.5,Watanabe (1992)
yinlong,herbivorous,Mid Jurassic,159-154,Asia,China,ceratopsian,1.2,Xu Forster Clark and Mo (2006)
yuanmousaurus,herbivorous,Mid Jurassic,180-159,Asia,China,sauropod,17.0,Lü Li Ji Wang Zhang and Dong (2006)
yunnanosaurus,omnivorous,Early Jurassic,205-190,Asia,China,sauropod,7.0,Young (1942)
zalmoxes,herbivorous,Late Cretaceous,69,Europa,Romania,euornithopod,3.0,Nopcsa (1902)
zephyrosaurus,herbivorous,Early Cretaceous,120-110,América del Norte,USA,euornithopod,1.8,Sues (1980)
zuniceratops,herbivorous,Late Cretaceous,94-89,América del Norte,USA,ceratopsian,3.5,Wolfe and Kirkland (1998)
